Starting...
Timestamp	Priority	Depth	Size	Code	URL
2024-09-26 20:14:05.363812	2	3	170970	200	https://businessdesk.co.nz/article/the-life/fair-share-art-buying-groups-are-a-smart-way-to-build-a-collection
2024-09-26 20:14:05.980955	2	3	177074	200	https://businessdesk.co.nz/article/the-life/controversy-and-growth-the-auckland-art-scene-in-the-1990s
2024-09-26 20:14:06.141402	1	0	190663	200	https://www.artfull.co.nz
2024-09-26 20:14:06.542248	2	3	176014	200	https://businessdesk.co.nz/article/the-life/old-gold-what-to-buy-in-the-nz-colonial-art-market
2024-09-26 20:14:06.766667	2	3	171531	200	https://businessdesk.co.nz/article/the-life/smart-money-why-investors-are-paying-attention-to-women-artists
2024-09-26 20:14:06.787185	2	3	174781	200	https://businessdesk.co.nz/article/the-life/ups-and-downs-ralph-hotere-and-the-art-market-1
2024-09-26 20:14:07.272537	2	3	180765	200	https://businessdesk.co.nz/article/the-life/the-bottom-line-what-we-learnt-from-the-art-world-in-2021
2024-09-26 20:14:07.976647	2	3	168849	200	https://businessdesk.co.nz/article/the-life/want-to-own-a-banksy-and-a-warhol-become-a-shareholder
2024-09-26 20:14:08.444438	1	0	31984	200	https://www.copyright.co.nz
2024-09-26 20:14:09.502275	2	1	145147	200	https://businessdesk.co.nz/best-of-bd-2023
2024-09-26 20:14:10.643047	1	0	20228	200	https://support.copyright.co.nz/portal/en/home
2024-09-26 20:14:10.901827	2	1	157191	200	https://businessdesk.co.nz/budget-2024
2024-09-26 20:14:15.018730	2	1	187040	200	https://businessdesk.co.nz/business
2024-09-26 20:14:18.858083	2	2	154086	200	https://businessdesk.co.nz/article/retail/sales-slump-11-at-kathmandu-owner-kmd-brands
2024-09-26 20:14:19.768947	2	1	182139	200	https://businessdesk.co.nz/business-advice
2024-09-26 20:14:20.143299	2	1	190342	200	https://businessdesk.co.nz/business-of-tech
2024-09-26 20:14:20.981501	2	2	171524	200	https://businessdesk.co.nz/article/business-advice/the-fail-file-kiri-barfoot-director-of-barfoot-thompson
2024-09-26 20:14:21.232441	2	2	164975	200	https://businessdesk.co.nz/article/business-advice/the-value-of-understanding-the-cultural-concepts-behind-maori-business
2024-09-26 20:14:21.582573	2	3	153571	200	https://businessdesk.co.nz/article/news-in-brief/luxon-seeking-new-chief-press-secretary
2024-09-26 20:14:22.997409	2	2	172571	200	https://businessdesk.co.nz/article/law-regulation/directors-in-the-health-and-safety-spotlight-its-not-just-someone-elses-job
2024-09-26 20:14:23.811129	2	2	148639	200	https://businessdesk.co.nz/article/news-in-brief/business-of-tech-podcast-the-benefits-of-rocket-fishing-with-rocket-labs-peter-beck
2024-09-26 20:14:25.492568	2	3	156180	200	https://businessdesk.co.nz/article/news-in-brief/comcom-orders-one-nz-to-stop-100-coverage-claim
2024-09-26 20:14:26.651480	2	2	176770	200	https://businessdesk.co.nz/article/technology/business-of-tech-could-ai-fix-nzs-ailing-health-system
2024-09-26 20:14:26.784160	1	0	332352	200	https://newsroom.co.nz
2024-09-26 20:14:26.828173	2	2	179437	200	https://businessdesk.co.nz/article/technology/business-of-tech-could-ai-unlock-truly-personalised-education
2024-09-26 20:14:27.038909	1	0	152393	200	https://www.rnz.co.nz
2024-09-26 20:14:27.061767	2	2	180733	200	https://businessdesk.co.nz/article/technology/business-of-tech-from-halter-to-supie-14-years-of-startup-wins-and-losses
2024-09-26 20:14:27.081579	2	2	180213	200	https://businessdesk.co.nz/article/technology/business-of-tech-gentracks-taming-of-the-wild-new-energy-market
2024-09-26 20:14:27.144796	1	0	106971	200	https://donations.newsroom.co.nz
2024-09-26 20:14:27.152153	2	2	178329	200	https://businessdesk.co.nz/article/technology/business-of-tech-nz-software-companies-should-start-in-the-us
2024-09-26 20:14:27.226319	2	3	155485	200	https://businessdesk.co.nz/article/primary-sector/waikato-farming-operation-fined-for-nait-failure
2024-09-26 20:14:27.236659	1	0	2884	200	https://www.stuff.co.nz
2024-09-26 20:14:27.274826	2	2	179112	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-2degrees-ceo-on-keeping-telco-competitive
2024-09-26 20:14:27.606744	1	0	196035	200	https://www.reseller.co.nz
2024-09-26 20:14:27.697061	1	0	87789	200	https://www.scoop.co.nz
2024-09-26 20:14:27.787941	2	2	177380	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-a-mixed-view-on-vr-ai-trust-plummeting
2024-09-26 20:14:27.946318	2	2	178404	200	https://businessdesk.co.nz/article/technology/business-of-tech-media-isnt-dying-its-catching-up
2024-09-26 20:14:28.614504	1	0	53335	200	https://info.scoop.co.nz
2024-09-26 20:14:28.619118	1	0	52557	200	https://resources.reseller.co.nz
2024-09-26 20:14:28.987959	1	0	11078	200	https://www.sky.co.nz
2024-09-26 20:14:29.061326	1	0	252112	200	https://www.auckland.ac.nz/en.html
2024-09-26 20:14:29.471127	1	0	36762	200	https://www.z.co.nz
2024-09-26 20:14:30.096007	1	0	8887	200	https://newsagent.scoop.co.nz
2024-09-26 20:14:30.792514	1	0	9867	200	https://guide.auckland.ac.nz
2024-09-26 20:14:31.415964	1	0	10269	200	https://unievents.auckland.ac.nz
2024-09-26 20:14:31.428556	1	0	6009	200	https://research-hub.auckland.ac.nz
2024-09-26 20:14:31.520283	1	0	94438	200	https://learningessentials.auckland.ac.nz
2024-09-26 20:14:31.600281	1	0	1625	200	https://profiles.auckland.ac.nz
2024-09-26 20:14:32.614064	1	0	13530	200	https://courseoutline.auckland.ac.nz/dco
2024-09-26 20:14:32.826359	1	0	353543	200	https://thedig.nz
2024-09-26 20:14:33.682064	1	0	135685	200	https://www.cie.auckland.ac.nz
2024-09-26 20:14:33.684227	1	0	7214	200	https://iam.auckland.ac.nz/profile/SAML2/Redirect/SSO
2024-09-26 20:14:34.535402	1	0	220167	200	https://www.auckland.ac.nz/en/about-us/about-the-university/identity-and-access-management/iam.html
2024-09-26 20:14:34.701258	1	0	93360	200	https://www.theinsideword.ac.nz
2024-09-26 20:14:35.205847	1	0	59390	200	https://www.calendar.auckland.ac.nz/en.html
2024-09-26 20:14:38.277928	1	0	170629	200	https://www.uniservices.co.nz
2024-09-26 20:14:40.760485	1	0	249556	200	https://www.auckland.ac.nz/en/giving.html
2024-09-26 20:14:44.362951	2	3	154850	200	https://businessdesk.co.nz/article/news-in-brief/mighty-ape-swings-into-mobile-with-one-nz-network-deal
2024-09-26 20:14:48.342998	2	2	179562	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-ai-is-changing-search-will-your-business-be-ready
2024-09-26 20:14:48.453254	2	2	180277	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-mfat-bungles-it-project-building-nzs-digital-twin
2024-09-26 20:14:48.537932	2	2	178391	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-quantums-coming-will-you-be-ready
2024-09-26 20:14:48.558881	2	2	179102	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-rod-drury-on-his-post-xero-life-as-nzs-fixer
2024-09-26 20:14:48.697839	2	2	179268	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-stories-of-nzs-tech-excellence-and-science-hopes
2024-09-26 20:14:48.978195	1	0	31475	200	https://www.atlasdigital.nz
2024-09-26 20:14:49.015670	2	2	178824	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-the-future-of-computers-apples-vision-pro-and-beyond
2024-09-26 20:14:49.052963	2	2	179666	200	https://businessdesk.co.nz/article/technology/business-of-tech-science-funding-cuts-choke-tech-talent-pipeline
2024-09-26 20:14:49.075576	2	2	182640	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-is-the-ai-for-business-mini-mba-any-good
2024-09-26 20:14:49.209913	2	2	179224	200	https://businessdesk.co.nz/article/technology/business-of-tech-science-in-nz-poor-in-funding-but-rich-in-lessons
2024-09-26 20:14:49.245324	2	2	178412	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-the-vision-behind-callaghan-innovations-reset
2024-09-26 20:14:49.360475	1	0	81205	200	https://theraise.atlasdigital.nz
2024-09-26 20:14:49.383021	1	0	187739	200	https://itp.nz
2024-09-26 20:14:49.500608	2	2	178192	200	https://businessdesk.co.nz/article/technology/business-of-tech-podcast-the-art-of-startup-valuation-and-equity-allocation
2024-09-26 20:14:49.679456	1	0	975663	200	https://thespinoff.co.nz
2024-09-26 20:14:49.924797	1	0	65770	200	https://thespinoff.co.nz/members
2024-09-26 20:14:49.991595	1	0	132516	200	https://www.tend.nz
2024-09-26 20:14:50.018290	1	0	225982	200	https://citrenz.itp.nz
2024-09-26 20:14:50.079888	2	1	157380	200	https://123tech.nz
2024-09-26 20:14:50.193559	1	0	163841	200	https://escrow.nz
